视频标题：【BBC六分钟】如何成为一名音乐人？becoming a musician（手绘课件版+知识图）
平台：bilibili
原始链接：https://www.bilibili.com/video/BV19nwxzQEdw/?vd_source=c010ec3a11358871f587630413675faf
字幕语言：中文
字幕来源：browser-fallback

字幕内容：

[00:00] BBC六分钟英语
[00:03] 学习英语点播站 你好
[00:06] 这里是BBC六分钟英语
[00:08] 学习英语
[00:09] 我是皮帕，我是尼尔
[00:11] 现在
[00:11] 尼尔
[00:12] 你有没有想过成为音乐人
[00:14] 哦是的
[00:15] 皮帕
[00:16] 我仍然想成为音乐人
[00:18] 我从14岁就开始弹吉他
[00:20] 哇
[00:21] 或许有一天你能实现
[00:23] 谁知道你的情况呢
[00:26] 我不觉得想成为音乐人
[00:28] 我觉得这会有点压力
[00:30] 尤其是有很多粉丝且非常成功的话
[00:32] 嗯 是啊
[00:33] 我想知道音乐人的生活到底什么样
[00:36] 在这期节目中我们将揭晓答案
[00:39] 通过来自英国各地的声音
[00:41] 那些想成为成功音乐人并会听他们音乐的人
[00:46] 也
[00:47] 尼尔
[00:48] 但首先
[00:48] 我有个问题要问你
[00:50] 尼尔在英国
[00:51] 我们每周都有国家最畅销歌曲排行榜
[00:55] 本周冠军单曲叫《第一名》
[00:58] 但你觉得哪位音乐人拥有最多
[01:02] 英国
[01:03] 冠军单曲
[01:04] 是A
[01:05] 披头士乐队
[01:06] B艾德·希兰还是C埃尔维斯·普雷斯利
[01:10] 哦 嗯
[01:11] 我觉得这很简单
[01:13] 肯定是披头士乐队
[01:16] 嗯
[01:17] 现在节目结尾我会揭晓答案
[01:20] 获得冠军单曲是许多音乐人的梦想
[01:24] 但如果你想成为音乐人
[01:26] 该从哪里开始
[01:28] 我在圣伊夫斯长大，那里音乐氛围浓厚
[01:31] 我大概11岁就开始参加开放麦活动
[01:35] 这是贝利
[01:36] 她住在英格兰西南部的康沃尔圣伊夫斯
[01:40] 她说从小就开始参加开放麦之夜
[01:44] 开放麦之夜是任何人都可唱歌或演奏音乐的活动
[01:48] 贝利向BBC讲述了她作为音乐人的生活
[01:52] 英语学习节目
[01:53] 我的歌曲
[01:54] 我的家
